id,name
base.activity_tag_1,พนักงานคก. สายวิจัย
base.activity_tag_2,พนักงานคก. สายสนับสนุน
base.activity_tag_3,พนักงานสายวิจัย
base.activity_tag_4,ค่าครองชีพไม่ถึงเกณฑ์
base.activity_tag_5,นอกกทม
base.activity_tag_6,พนักงานสายสนับสนุน
base.activity_tag_7,ตั๋วเครื่องบิน
base.activity_tag_8,สายการบินไทย
base.activity_tag_9,สายการบินอื่น
base.activity_tag_10,ค่าพาหนะ
base.activity_tag_11,ค่าเบื้ยเลี้ยง
base.activity_tag_12,ค่าลงทะเบียน
base.activity_tag_13,ค่าที่พัก
base.activity_tag_14,สวทช.
base.activity_tag_15,อนุกองทุน สวทช.
base.activity_tag_16,บอร์ดศูนย์ฯ
base.activity_tag_17,อนุตรวจสอบ
base.activity_tag_18,อนุความเสี่ยง
base.activity_tag_19,อนุบุคคล
base.activity_tag_20,คณะทำงาน
base.activity_tag_21,รับทำงานทางวิชาการ (40:40:20)
base.activity_tag_22,ค่าตอบแทนอนุญาตให้ใช้สิทธิ (70:30)
base.activity_tag_23,ค่าวิทยากร พิธีกร ล่าม
base.activity_tag_24,ค่าจัดการสถานที่
base.activity_tag_25,ค่าจ้าง Organizer
base.activity_tag_26,ค่าเบี้ยเลี้ยง
base.activity_tag_27,ค่าอาหารในการจัดเลี้ยง
base.activity_tag_28,ค่าใช้จ่ายในการรับจัดฝึกอบรม
base.activity_tag_29,ค่าภาษีโรงเรือน
base.activity_tag_30,ค่าภาษีป้าย
base.activity_tag_31,ค่าภาษีรถยนต์
base.activity_tag_32,ค่าอากรแสตมป์/ตราสาร
base.activity_tag_33,ค่าธรรมเนียมศาล
base.activity_tag_34,ค่าธรรมเนียมธนาคาร
base.activity_tag_35,ค่าธรรมเนียมขอวีซ่า/Passport
base.activity_tag_36,ค่าธรรมเนียมจดสิทธิบัตร
base.activity_tag_37,ค่าธรรมเนียม Workpermit
base.activity_tag_38,ค่าธรรมเนียมเลื่อนตั๋ว
base.activity_tag_39,ค่าธรรมเนียมออกของ
base.activity_tag_40,ค่าดูแลระบบตู้โทรศัพท์
base.activity_tag_41,ค่าดูแลสถานีไฟฟ้าย่อย
base.activity_tag_42,ค่าดูแลระบบลิฟท์
base.activity_tag_43,ค่าดูแลพัสดุ
base.activity_tag_44,พนักงาน สวทช.
base.activity_tag_45,บุคคลภายนอก
base.activity_tag_46,ค่าอาหารเครื่องดื่มรับรองในประเทศ (ค่าเยี่ยมชม)
base.activity_tag_47,ค่าอาหารเครื่องดื่มรับรองต่างประเทศ
base.activity_tag_48,ค่ารับรองประจำตำแหน่ง
base.activity_tag_49,ค่าดอกไม้ พวงหรีด พวงมาลัย ของที่ระลึก ค่ากระเช้า
base.activity_tag_50,ค่าอาหารศาลพระภูมิ
base.activity_tag_51,ค่าพนักงานรักษาความปลอดภัย
base.activity_tag_52,ค่าบริการจัดการจราจร
base.activity_tag_53,ค่าที่จอดรถ สห.11
base.activity_tag_54,ค่ากำจัดมด-ปลวก-แมลง-ยุง
base.activity_tag_55,ค่าตรวจวิเคราะห์ระบบบำบัดน้ำเสีย
base.activity_tag_56,ค่าแม่บ้านทำความสะอาด
base.activity_tag_57,ค่าบริการซักรีด
base.activity_tag_58,ค่าบริการฆ่าเชื้อกำจัดกลิ่น
base.activity_tag_59,ค่าเก็บขยะ
base.activity_tag_60,ค่าทำลายเอกสาร
base.activity_tag_61,รถประจำตำแหน่ง (ไม่รวมคนขับ) **งานพัสดุต้องส่งข้อมูลรายกิจกรรมได้)
base.activity_tag_62,รถทีใช้ในการปฏิบัติงาน
base.activity_tag_63,สำนักงาน/ค่าบริการส่วนกลาง
base.activity_tag_64,ห้องปฏิบัติการ
base.activity_tag_65,หอพัก/บ้านพัก
base.activity_tag_66,คอมพิวเตอร์
base.activity_tag_67,เครื่องมือห้องปฎิบัติการ
base.activity_tag_68,ในประเทศ
base.activity_tag_69,ต่างประเทศ
base.activity_tag_70,ส่วนลดเงินสด
base.activity_tag_71,CO – โยธี
base.activity_tag_72,CO – ส่วนงานกลาง
base.activity_tag_73,CO – บ้านวิทย์
base.activity_tag_74,CO – บริเวณรอบ อวท.
base.activity_tag_75,BIOTEC – ศช.
base.activity_tag_76,BIOTEC – Plant
base.activity_tag_77,BIOTEC – โรงเรือน
base.activity_tag_78,BIOTEC – ศวพก.
base.activity_tag_79,BIOTEC – หน่วยแป้ง
base.activity_tag_80,BIOTEC – หน่วยพืช
base.activity_tag_81,BIOTEC – ฮาลาบาลา
base.activity_tag_82,MTEC – ศว.
base.activity_tag_83,MTEC – Plant
base.activity_tag_84,MTEC – ไบโอดีเซล (หนองหมู)
base.activity_tag_85,NECTEC – ศอ.
base.activity_tag_86,NECTEC – Plant
base.activity_tag_87,NECTEC – TMEC
base.activity_tag_88,NECTEC – แม่สะเรียง
base.activity_tag_89,NECTEC – ThaiSan
base.activity_tag_90,NANOTEC - INC2
base.activity_tag_91,NANOTEC – Plant
base.activity_tag_92,TMC – ศูนย์ประชุม CC
base.activity_tag_93,TMC – INC1
base.activity_tag_94,TMC – INC2
base.activity_tag_95,TMC – SWP
base.activity_tag_96,TMC – Garden of inovation
base.activity_tag_97,TMC – PTEC
base.activity_tag_98,TMC – สวทช. ภาคเหนือ
base.activity_tag_99,TMC – นิทรรศน์วิทยาคาร
base.activity_tag_100,ประปานครหลวง
base.activity_tag_101,ประปาส่วนภูมิภาค
