"id","name","province_id/id"
"__export__.nstda_ccsc_m_eamphur_1","อ.เชียงดาว","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_2","อ.เมืองเชียงใหม่","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_3","อ.เวียงแหง","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_4","อ.แม่แจ่ม","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_5","อ.แม่แตง","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_6","อ.แม่ริม","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_7","อ.แม่วาง","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_8","อ.แม่ออน","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_9","อ.แม่อาย","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_10","อ.ไชยปราการ","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_11","อ.กัลยาณิวัฒนา","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_12","อ.จอมทอง","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_13","อ.ดอยเต่า","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_14","อ.ดอยสะเก็ด","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_15","อ.ดอยหล่อ","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_16","อ.ฝาง","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_17","อ.พร้าว","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_18","อ.สะเมิง","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_19","อ.สันกำแพง","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_20","อ.สันทราย","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_21","อ.สันป่าตอง","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_22","อ.สารภี","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_23","อ.หางดง","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_24","อ.อมก๋อย","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_25","อ.ฮอด","__export__.res_country_state_65"
"__export__.nstda_ccsc_m_eamphur_26","อ.เชียงแสน","__export__.res_country_state_64"
"__export__.nstda_ccsc_m_eamphur_27","อ.เชียงของ","__export__.res_country_state_64"
"__export__.nstda_ccsc_m_eamphur_28","อ.เทิง","__export__.res_country_state_64"
"__export__.nstda_ccsc_m_eamphur_29","อ.เมืองเชียงราย","__export__.res_country_state_64"
"__export__.nstda_ccsc_m_eamphur_30","อ.เวียงเชียงรุ้ง","__export__.res_country_state_64"
"__export__.nstda_ccsc_m_eamphur_31","อ.เวียงแก่น","__export__.res_country_state_64"
"__export__.nstda_ccsc_m_eamphur_32","อ.เวียงชัย","__export__.res_country_state_64"
"__export__.nstda_ccsc_m_eamphur_33","อ.เวียงป่าเป้า","__export__.res_country_state_64"
"__export__.nstda_ccsc_m_eamphur_34","อ.แม่จัน","__export__.res_country_state_64"
"__export__.nstda_ccsc_m_eamphur_35","อ.แม่ฟ้าหลวง","__export__.res_country_state_64"
"__export__.nstda_ccsc_m_eamphur_36","อ.แม่ลาว","__export__.res_country_state_64"
"__export__.nstda_ccsc_m_eamphur_37","อ.แม่สรวย","__export__.res_country_state_64"
"__export__.nstda_ccsc_m_eamphur_38","อ.แม่สาย","__export__.res_country_state_64"
"__export__.nstda_ccsc_m_eamphur_39","อ.ขุนตาล","__export__.res_country_state_64"
"__export__.nstda_ccsc_m_eamphur_40","อ.ดอยหลวง","__export__.res_country_state_64"
"__export__.nstda_ccsc_m_eamphur_41","อ.ป่าแดด","__export__.res_country_state_64"
"__export__.nstda_ccsc_m_eamphur_42","อ.พญาเม็งราย","__export__.res_country_state_64"
"__export__.nstda_ccsc_m_eamphur_43","อ.พาน","__export__.res_country_state_64"
"__export__.nstda_ccsc_m_eamphur_44","อ.เขาย้อย","__export__.res_country_state_90"
"__export__.nstda_ccsc_m_eamphur_45","อ.เมืองเพชรบุรี","__export__.res_country_state_90"
"__export__.nstda_ccsc_m_eamphur_46","อ.แก่งกระจาน","__export__.res_country_state_90"
"__export__.nstda_ccsc_m_eamphur_47","อ.ชะอำ","__export__.res_country_state_90"
"__export__.nstda_ccsc_m_eamphur_48","อ.ท่ายาง","__export__.res_country_state_90"
"__export__.nstda_ccsc_m_eamphur_49","อ.บ้านแหลม","__export__.res_country_state_90"
"__export__.nstda_ccsc_m_eamphur_50","อ.บ้านลาด","__export__.res_country_state_90"
"__export__.nstda_ccsc_m_eamphur_51","อ.หนองหญ้าปล้อง","__export__.res_country_state_90"
"__export__.nstda_ccsc_m_eamphur_52","อ.เขาค้อ","__export__.res_country_state_91"
"__export__.nstda_ccsc_m_eamphur_53","อ.เมืองเพชรบูรณ์","__export__.res_country_state_91"
"__export__.nstda_ccsc_m_eamphur_54","อ.ชนแดน","__export__.res_country_state_91"
"__export__.nstda_ccsc_m_eamphur_55","อ.น้ำหนาว","__export__.res_country_state_91"
"__export__.nstda_ccsc_m_eamphur_56","อ.บึงสามพัน","__export__.res_country_state_91"
"__export__.nstda_ccsc_m_eamphur_57","อ.วังโป่ง","__export__.res_country_state_91"
"__export__.nstda_ccsc_m_eamphur_58","อ.วิเชียรบุรี","__export__.res_country_state_91"
"__export__.nstda_ccsc_m_eamphur_59","อ.ศรีเทพ","__export__.res_country_state_91"
"__export__.nstda_ccsc_m_eamphur_60","อ.หนองไผ่","__export__.res_country_state_91"
"__export__.nstda_ccsc_m_eamphur_61","อ.หล่มเก่า","__export__.res_country_state_91"
"__export__.nstda_ccsc_m_eamphur_62","อ.หล่มสัก","__export__.res_country_state_91"
"__export__.nstda_ccsc_m_eamphur_63","อ.เชียงคาน","__export__.res_country_state_106"
"__export__.nstda_ccsc_m_eamphur_64","อ.เมืองเลย","__export__.res_country_state_106"
"__export__.nstda_ccsc_m_eamphur_65","อ.เอราวัณ","__export__.res_country_state_106"
"__export__.nstda_ccsc_m_eamphur_66","อ.ด่านซ้าย","__export__.res_country_state_106"
"__export__.nstda_ccsc_m_eamphur_67","อ.ท่าลี่","__export__.res_country_state_106"
"__export__.nstda_ccsc_m_eamphur_68","อ.นาแห้ว","__export__.res_country_state_106"
"__export__.nstda_ccsc_m_eamphur_69","อ.นาด้วง","__export__.res_country_state_106"
"__export__.nstda_ccsc_m_eamphur_70","อ.ปากชม","__export__.res_country_state_106"
"__export__.nstda_ccsc_m_eamphur_71","อ.ผาขาว","__export__.res_country_state_106"
