id,name,user_id,start_date,stop_date,allday,recurrency,partner_ids
calendar_holiday_2015_1,วันขึ้นปีใหม่,Holiday,2015-01-01,2015-01-01,TRUE,FALSE,
calendar_holiday_2015_2,วันหยุดกรณีพิเศษ (ตามมติคณะรัฐมนตรี),Holiday,2015-01-02,2015-01-02,TRUE,FALSE,
calendar_holiday_2015_3,วันมาฆบูชา,Holiday,2015-03-04,2015-03-04,TRUE,FALSE,
calendar_holiday_2015_4,วันพระบาทสมเด็จพระพุทธยอดฟ้าจุฬาโลกมหาราช และวันที่ระลึกมหาจักรีบรมราชวงศ์,Holiday,2015-04-06,2015-04-06,TRUE,FALSE,
calendar_holiday_2015_5,วันสงกรานต์,Holiday,2015-04-13,2015-04-13,TRUE,FALSE,
calendar_holiday_2015_6,วันสงกรานต์,Holiday,2015-04-14,2015-04-14,TRUE,FALSE,
calendar_holiday_2015_7,วันสงกรานต์,Holiday,2015-04-15,2015-04-15,TRUE,FALSE,
calendar_holiday_2015_8,วันหยุดกรณีพิเศษ (ตามมติคณะรัฐมนตรี),Holiday,2015-05-04,2015-05-04,TRUE,FALSE,
calendar_holiday_2015_9,วันฉัตรมงคล,Holiday,2015-05-05,2015-05-05,TRUE,FALSE,
calendar_holiday_2015_10,วันพืชมงคลจรดพระนังคัลแรกนาขวัญ,Holiday,2015-05-13,2015-05-13,TRUE,FALSE,
calendar_holiday_2015_11,วันวิสาขบูชา,Holiday,2015-06-01,2015-06-01,TRUE,FALSE,
calendar_holiday_2015_12,วันอาสาฬหบูชา,Holiday,2015-07-30,2015-07-30,TRUE,FALSE,
calendar_holiday_2015_13,วันเข้าพรรษา,Holiday,2015-07-31,2015-07-31,TRUE,FALSE,
calendar_holiday_2015_14,วันเฉลิมพระชนมพรรษาสมเด็จพระนางเจ้าฯ พระบรมราชินีนาถ,Holiday,2015-08-12,2015-08-12,TRUE,FALSE,
calendar_holiday_2015_15,วันปิยมหาราช,Holiday,2015-10-23,2015-10-23,TRUE,FALSE,
calendar_holiday_2015_16,วันเฉลิมพระชนมพรรษาพระบาทสมเด็จพระเจ้าอยู่หัวฯ,Holiday,2015-12-05,2015-12-05,TRUE,FALSE,
calendar_holiday_2015_17,ชดเชยวันเฉลิมพระชนมพรรษาพระบาทสมเด็จพระเจ้าอยู่หัวฯ,Holiday,2015-12-07,2015-12-07,TRUE,FALSE,
calendar_holiday_2015_18,วันพระราชทานรัฐธรรมนูญ,Holiday,2015-12-10,2015-12-10,TRUE,FALSE,
calendar_holiday_2015_19,วันสิ้นปี,Holiday,2015-12-31,2015-12-31,TRUE,FALSE,
