id,activity_group_id,name,tag_ids
base.activity_1,เงินเดือนพนักงาน สวทช.,เงินเดือนพนักงาน สวทช. - พนักงานสายวิจัย,พนักงานสายวิจัย
base.activity_2,เงินเดือนพนักงาน สวทช.,เงินเดือนพนักงาน สวทช. - พนักงานสายสนับสนุน,พนักงานสายสนับสนุน
base.activity_3,เงินเดือน-พนักงานโครงการ สวทช.,เงินเดือน-พนักงานโครงการ สวทช. - พนักงานคก. สายวิจัย,พนักงานคก. สายวิจัย
base.activity_4,เงินเดือน-พนักงานโครงการ สวทช.,เงินเดือน-พนักงานโครงการ สวทช. - พนักงานคก. สายสนับสนุน,พนักงานคก. สายสนับสนุน
base.activity_5,ค่าล่วงเวลา-พนักงาน สวทช.,ค่าล่วงเวลา-พนักงาน สวทช. - พนักงานสายวิจัย,พนักงานสายวิจัย
base.activity_6,ค่าล่วงเวลา-พนักงาน สวทช.,ค่าล่วงเวลา-พนักงาน สวทช. - พนักงานสายสนับสนุน,พนักงานสายสนับสนุน
base.activity_7,ค่าล่วงเวลาพนักงานโครงการ สวทช.,ค่าล่วงเวลาพนักงานโครงการ สวทช. - พนักงานคก. สายวิจัย,พนักงานคก. สายวิจัย
base.activity_8,ค่าล่วงเวลาพนักงานโครงการ สวทช.,ค่าล่วงเวลาพนักงานโครงการ สวทช. - พนักงานคก. สายสนับสนุน,พนักงานคก. สายสนับสนุน
base.activity_9,เงินเพิ่มพิเศษพนักงาน สวทช.,เงินเพิ่มพิเศษพนักงาน สวทช. - พนักงานสายวิจัย,พนักงานสายวิจัย
base.activity_10,เงินเพิ่มพิเศษพนักงาน สวทช.,เงินเพิ่มพิเศษพนักงาน สวทช. - พนักงานสายสนับสนุน,พนักงานสายสนับสนุน
base.activity_11,เงินเพิ่มพิเศษพนักงานโครงการ สวทช.,เงินเพิ่มพิเศษพนักงานโครงการ สวทช. - พนักงานคก. สายวิจัย,พนักงานคก. สายวิจัย
base.activity_12,เงินเพิ่มพิเศษพนักงานโครงการ สวทช.,เงินเพิ่มพิเศษพนักงานโครงการ สวทช. - พนักงานคก. สายสนับสนุน,พนักงานคก. สายสนับสนุน
base.activity_13,เงินสวัสดิการ-บำเหน็จพนักงาน สวทช.,เงินสวัสดิการ-บำเหน็จพนักงาน สวทช. - พนักงานสายวิจัย,พนักงานสายวิจัย
base.activity_14,เงินสวัสดิการ-บำเหน็จพนักงาน สวทช.,เงินสวัสดิการ-บำเหน็จพนักงาน สวทช. - พนักงานสายสนับสนุน,พนักงานสายสนับสนุน
base.activity_15,เงินสมทบกองทุนสำรองเลี้ยงชีพพนักงาน สวทช.,เงินสมทบกองทุนสำรองเลี้ยงชีพพนักงาน สวทช. - พนักงานสายวิจัย,พนักงานสายวิจัย
base.activity_16,เงินสมทบกองทุนสำรองเลี้ยงชีพพนักงาน สวทช.,เงินสมทบกองทุนสำรองเลี้ยงชีพพนักงาน สวทช. - พนักงานสายสนับสนุน,พนักงานสายสนับสนุน
base.activity_17,เงินสมทบกองทุนสำรองเลี้ยงชีพพนักงานโครงการ สวทช.,เงินสมทบกองทุนสำรองเลี้ยงชีพพนักงานโครงการ สวทช. - พนักงานคก. สายวิจัย,พนักงานคก. สายวิจัย
base.activity_18,เงินสมทบกองทุนสำรองเลี้ยงชีพพนักงานโครงการ สวทช.,เงินสมทบกองทุนสำรองเลี้ยงชีพพนักงานโครงการ สวทช. - พนักงานคก. สายสนับสนุน,พนักงานคก. สายสนับสนุน
base.activity_19,เงินสวัสดิการ-ค่ารักษาพยาบาลพนักงาน สวทช.,เงินสวัสดิการ-ค่ารักษาพยาบาลพนักงาน สวทช. - พนักงานสายวิจัย,พนักงานสายวิจัย
base.activity_20,เงินสวัสดิการ-ค่ารักษาพยาบาลพนักงาน สวทช.,เงินสวัสดิการ-ค่ารักษาพยาบาลพนักงาน สวทช. - พนักงานสายสนับสนุน,พนักงานสายสนับสนุน
base.activity_21,เงินสวัสดิการ-ค่ารักษาพยาบาลพนักงานโครงการ สวทช.,เงินสวัสดิการ-ค่ารักษาพยาบาลพนักงานโครงการ สวทช. - พนักงานคก. สายวิจัย,พนักงานคก. สายวิจัย
base.activity_22,เงินสวัสดิการ-ค่ารักษาพยาบาลพนักงานโครงการ สวทช.,เงินสวัสดิการ-ค่ารักษาพยาบาลพนักงานโครงการ สวทช. - พนักงานคก. สายสนับสนุน,พนักงานคก. สายสนับสนุน
base.activity_23,เงินสวัสดิการ-ค่าเล่าเรียนบุตรพนักงาน สวทช.,เงินสวัสดิการ-ค่าเล่าเรียนบุตรพนักงาน สวทช. - พนักงานสายวิจัย,พนักงานสายวิจัย
base.activity_24,เงินสวัสดิการ-ค่าเล่าเรียนบุตรพนักงาน สวทช.,เงินสวัสดิการ-ค่าเล่าเรียนบุตรพนักงาน สวทช. - พนักงานสายสนับสนุน,พนักงานสายสนับสนุน
base.activity_25,เงินสวัสดิการ-ค่าเล่าเรียนบุตรพนักงานโครงการ สวทช.,เงินสวัสดิการ-ค่าเล่าเรียนบุตรพนักงานโครงการ สวทช. - พนักงานคก. สายวิจัย,พนักงานคก. สายวิจัย
base.activity_26,เงินสวัสดิการ-ค่าเล่าเรียนบุตรพนักงานโครงการ สวทช.,เงินสวัสดิการ-ค่าเล่าเรียนบุตรพนักงานโครงการ สวทช. - พนักงานคก. สายสนับสนุน,พนักงานคก. สายสนับสนุน
base.activity_27,เงินชดเชยช่วยเหลือพนักงาน สวทช.,เงินชดเชยช่วยเหลือพนักงาน สวทช. - พนักงานสายวิจัย,พนักงานสายวิจัย
base.activity_28,เงินชดเชยช่วยเหลือพนักงาน สวทช.,เงินชดเชยช่วยเหลือพนักงาน สวทช. - พนักงานสายสนับสนุน,พนักงานสายสนับสนุน
base.activity_29,เงินชดเชยช่วยเหลือพนักงานโครงการ สวทช.,เงินชดเชยช่วยเหลือพนักงานโครงการ สวทช. - พนักงานคก. สายวิจัย,พนักงานคก. สายวิจัย
base.activity_30,เงินชดเชยช่วยเหลือพนักงานโครงการ สวทช.,เงินชดเชยช่วยเหลือพนักงานโครงการ สวทช. - พนักงานคก. สายสนับสนุน,พนักงานคก. สายสนับสนุน
base.activity_31,เงินช่วยเหลือค่าทำศพพนักงาน สวทช.,เงินช่วยเหลือค่าทำศพพนักงาน สวทช. - พนักงานสายวิจัย,พนักงานสายวิจัย
base.activity_32,เงินช่วยเหลือค่าทำศพพนักงาน สวทช.,เงินช่วยเหลือค่าทำศพพนักงาน สวทช. - พนักงานสายสนับสนุน,พนักงานสายสนับสนุน
base.activity_33,เงินช่วยเหลือค่าทำศพพนักงานโครงการ สวทช.,เงินช่วยเหลือค่าทำศพพนักงานโครงการ สวทช. - พนักงานคก. สายวิจัย,พนักงานคก. สายวิจัย
base.activity_34,เงินช่วยเหลือค่าทำศพพนักงานโครงการ สวทช.,เงินช่วยเหลือค่าทำศพพนักงานโครงการ สวทช. - พนักงานคก. สายสนับสนุน,พนักงานคก. สายสนับสนุน
base.activity_35,เงินสวัสดิการเสริมสร้างสุขภาพพนักงาน สวทช.,เงินสวัสดิการเสริมสร้างสุขภาพพนักงาน สวทช. - พนักงานสายวิจัย,พนักงานสายวิจัย
base.activity_36,เงินสวัสดิการเสริมสร้างสุขภาพพนักงาน สวทช.,เงินสวัสดิการเสริมสร้างสุขภาพพนักงาน สวทช. - พนักงานสายสนับสนุน,พนักงานสายสนับสนุน
base.activity_37,เงินสวัสดิการเสริมสร้างสุขภาพพนักงานโครงการ สวทช.,เงินสวัสดิการเสริมสร้างสุขภาพพนักงานโครงการ สวทช. - พนักงานคก. สายวิจัย,พนักงานคก. สายวิจัย
base.activity_38,เงินสวัสดิการเสริมสร้างสุขภาพพนักงานโครงการ สวทช.,เงินสวัสดิการเสริมสร้างสุขภาพพนักงานโครงการ สวทช. - พนักงานคก. สายสนับสนุน,พนักงานคก. สายสนับสนุน
