id,name,account_id
base.activity_group_1,คชจ.ซื้อทรัพย์สิน/พัสดุ สำหรับโครงการ/งานบริการ,52061501
base.activity_group_2,ค่าครุภัณฑ์เพื่อการส่งมอบ,52061602
base.activity_group_3,ค่าครุภัณฑ์วิจัยต้นแบบ,52030121
base.activity_group_4,ค่าโฆษณาและเผยแพร่,52021301
base.activity_group_5,ค่าจ้างดูแลสวนหย่อม,52020704
base.activity_group_6,ค่าจ้างที่ปรึกษา/ผู้เชี่ยวชาญ,52061201
base.activity_group_7,ค่าเช่าทรัพย์สินและอุปกรณ์,52020802
base.activity_group_8,ค่าเช่าที่ดิน,52020802
base.activity_group_9,ค่าเช่ารถ,52020801
base.activity_group_10,ค่าเช่าสถานที่,52020802
base.activity_group_11,ค่าใช้จ่ายเดินทางปฏิบัติงาน/เข้ารับการฝึกอบรม-ต่างประเทศ,51030201
base.activity_group_12,ค่าใช้จ่ายเดินทางปฏิบัติงาน/เข้ารับการฝึกอบรม-ในประเทศ,51030101
base.activity_group_13,ค่าใช้สอยอื่น,52021690
base.activity_group_14,ค่าซ่อมแซม,52020401
base.activity_group_15,ค่าซื้อลิขสิทธิ์ และฐานข้อมูล,52021001
base.activity_group_16,ค่าตรวจประเมินคุณภาพ,52061302
base.activity_group_17,ค่าตอบแทนผู้ปฏิบัติงานให้สำนักงาน,52010102
base.activity_group_18,ค่าตัดจำหน่าย-สินทรัพย์ไม่มีตัวตน,52062017
base.activity_group_19,ค่าถ่ายเอกสาร,52021601
base.activity_group_20,ค่าโทรศัพท์,52040103
base.activity_group_21,ค่าธรรมเนียม,52020301
base.activity_group_22,ค่านายหน้าจากการฝากขายหนังสือ,52010104
base.activity_group_23,ค่าบริการรักษาความปลอดภัย,52020702
base.activity_group_24,ค่าบริการรักษาความสะอาด,52020703
base.activity_group_25,ค่าบริการรับส่งเอกสารและพัสดุ,52021602
base.activity_group_26,ค่าบริการสื่อสารและโทรคมนาคม,52040105
base.activity_group_27,ค่าบำรุงรักษา,52020402
base.activity_group_28,ค่าเบี้ยประกันชีวิต,52020501
base.activity_group_29,ค่าเบี้ยประกันภัย-ทรัพย์สิน,52020501
base.activity_group_30,ค่าเบี้ยประกันสุขภาพและอุบัติเหตุพนักงาน สวทช.,51020110
base.activity_group_31,ค่าเบี้ยประกันสุขภาพและอุบัติเหตุพนักงานโครงการ สวทช.,51020110
base.activity_group_32,ค่าเบี้ยประชุม,52010101
base.activity_group_33,ค่าประปา,52040102
base.activity_group_34,ค่าไปรษณีย์,52040104
base.activity_group_35,ค่าพนักงานต้อนรับ/ประชาสัมพันธ์,52020705
base.activity_group_36,ค่าพัฒนาเว็บไซด์/สื่อการเรียนรู้/ฐานข้อมูล,52021603
base.activity_group_37,ค่าไฟฟ้า,52040101
base.activity_group_38,ค่าภาษี,52020301
base.activity_group_39,ค่ารถรับส่งพนักงาน,51020108
base.activity_group_40,ค่ารับรองและพิธีการ,52020601
