id,name
base.activity_tag_1,3จังหวัดชายแดนภาคใต้
base.activity_tag_2,BIOTEC
base.activity_tag_3,CENTRAL
base.activity_tag_4,DNATEC
base.activity_tag_5,Garden of inovation
base.activity_tag_6,Hardwareและเครื่องมืออุปกรณ์
base.activity_tag_7,INC1
base.activity_tag_8,INC2
base.activity_tag_9,Incubator Wing
base.activity_tag_10,MTEC
base.activity_tag_11,NANOTEC
base.activity_tag_12,Pilot Plant
base.activity_tag_13,PTEC
base.activity_tag_14,Software
base.activity_tag_15,SWP
base.activity_tag_16,ThaiSan
base.activity_tag_17,TMC
base.activity_tag_18,TMEC
base.activity_tag_19,Workpermit
base.activity_tag_20,กระทรวงวิทยาศาสตร์ฯ
base.activity_tag_50,การบินไทย
base.activity_tag_21,กำจัดมด-ปลวก-แมลง-ยุง
base.activity_tag_22,เก็บขยะ
base.activity_tag_23,ขอวีซ่า/Passport
base.activity_tag_24,คณะทำงาน
base.activity_tag_25,คอมพิวเตอร์
base.activity_tag_26,ค่าครองชีพไม่ถึงเกณฑ์
base.activity_tag_27,ค่าจัดการสถานที่
base.activity_tag_28,ค่าจ้าง Organizer
base.activity_tag_29,ค่าใช้จ่ายในการรับจัดฝึกอบรม
base.activity_tag_30,ค่าดอกไม้ พวงหรีด พวงมาลัย ของที่ระลึก ค่ากระเช้า
base.activity_tag_31,ค่าตอบแทนอนุญาตให้ใช้สิทธิ (70:30)
base.activity_tag_32,ค่าที่พัก
base.activity_tag_33,ค่าบริการเครือข่าย
base.activity_tag_34,ค่าเบี้ยเลี้ยง
base.activity_tag_36,ค่าพาหนะ
base.activity_tag_37,ค่ารับรองประจำตำแหน่ง
base.activity_tag_38,ค่าลงทะเบียน
base.activity_tag_39,ค่าวิทยากร พิธีกร ล่าม
base.activity_tag_40,ค่าอากรแสตมป์/ตราสาร
base.activity_tag_41,ค่าอาหารเครื่องดื่มรับรองต่างประเทศ
base.activity_tag_42,ค่าอาหารเครื่องดื่มรับรองในประเทศ
base.activity_tag_43,ค่าอาหารในการจัดเลี้ยง
base.activity_tag_44,ค่าแอร์การ์ด
base.activity_tag_45,เครื่องมือห้องปฎิบัติการ
base.activity_tag_46,จดสิทธิบัตร
base.activity_tag_47,จัดการจราจร
base.activity_tag_48,ตรวจวิเคราะห์ระบบบำบัดน้ำเสีย
base.activity_tag_49,ตั๋วเครื่องบิน
base.activity_tag_52,ต่างประเทศ
base.activity_tag_53,ท่าโขลง
base.activity_tag_54,ทำลายเอกสาร
base.activity_tag_55,ที่จอดรถ สห.11
base.activity_tag_56,ธนาคาร
base.activity_tag_57,นครหลวง
base.activity_tag_58,นอกกทม
base.activity_tag_59,นิทรรศน์วิทยาคาร
base.activity_tag_60,ในประเทศ
base.activity_tag_61,บริการฆ่าเชื้อกำจัดกลิ่น
base.activity_tag_62,บริการซักรีด
base.activity_tag_63,บริเวณรอบ อวท.
base.activity_tag_64,บอร์ดศูนย์ฯ
base.activity_tag_65,บัณฑิตศึกษา
base.activity_tag_66,บางกอกไทย
base.activity_tag_67,บ้านวิทย์
base.activity_tag_68,บุคคลภายนอก
base.activity_tag_69,ไบโอดีเซล (หนองหมู)
base.activity_tag_70,ประจำตำแหน่ง
base.activity_tag_71,ป้าย
base.activity_tag_72,พนักงาน สวทช.
base.activity_tag_73,พนักงานคก. สายวิจัย
base.activity_tag_74,พนักงานคก. สายสนับสนุน
base.activity_tag_75,พนักงานรักษาความปลอดภัย
base.activity_tag_76,พนักงานรักษาความสะอาด
base.activity_tag_77,พนักงานสายวิจัย
base.activity_tag_78,พนักงานสายสนับสนุน
base.activity_tag_79,ภาครัฐ
base.activity_tag_80,ภาคเอกชน
base.activity_tag_81,แม่สะเรียง
base.activity_tag_82,โยธี
base.activity_tag_83,รถยนต์
base.activity_tag_84,ระบบตู้โทรศัพท์
base.activity_tag_85,ระบบลิฟท์
base.activity_tag_86,รับทำงานทางวิชาการ (40:40:20)
base.activity_tag_87,โรงเรือน
base.activity_tag_88,เลื่อนตั๋ว
base.activity_tag_89,ศช.
base.activity_tag_90,ศว.
base.activity_tag_91,ศวพก.
base.activity_tag_92,ศอ.
base.activity_tag_93,ศาล
base.activity_tag_94,ศูนย์ประชุม CC
base.activity_tag_95,สถานีไฟฟ้าย่อย
base.activity_tag_96,สวทช.
base.activity_tag_97,สวทช. ภาคเหนือ
base.activity_tag_98,ส่วนงานกลาง
base.activity_tag_99,ส่วนตัว
base.activity_tag_100,ส่วนภูมิภาค
base.activity_tag_51,สายการบินอื่น
base.activity_tag_101,สำนักงาน
base.activity_tag_102,สำนักงาน/ค่าบริการส่วนกลาง
base.activity_tag_103,หน่วยแป้ง
base.activity_tag_104,หน่วยพืช
base.activity_tag_105,ห้องปฏิบัติการ
base.activity_tag_106,หอพัก/บ้านพัก
base.activity_tag_107,อนุกองทุน สวทช.
base.activity_tag_108,อนุความเสี่ยง
base.activity_tag_109,อนุตรวจสอบ
base.activity_tag_110,อนุบุคคล
base.activity_tag_111,ออกของ
base.activity_tag_112,อื่นๆ
base.activity_tag_113,ฮาลาบาลา
base.activity_tag_114,NECTEC
