id,name,cost_control_type_id/id
base.cost_control_1,51203076 - ROBOT DESIGN CONTEST 2016 & IDC ROBOCON,cost_control_nstda_course
base.cost_control_2,64000200 - การจัดกิจกรรมสัญจร,cost_control_nstda_course
base.cost_control_3,71001022 - การจัดประชุมเพื่อการดำเนินงานทั่วไป,cost_control_nstda_course
base.cost_control_4,52300040 - ครุภัณฑ์_คก.ขึ้นทะเบียนเกษตรกรระยะที่ 2,cost_control_nstda_course
base.cost_control_5,51301583 - พัฒนาบุคลากร สวทช.,cost_control_nstda_course
base.cost_control_6,51203004 - ศจ.ACCEPTANCE TEST-DRIVEN DEVELOPMENT WI,cost_control_nstda_course
base.cost_control_7,51203066 - ศจ.AGILE BUSINESS ANALYSIS,cost_control_nstda_course
base.cost_control_8,51203020 - ศจ.AMI_JW_RS2อบรมผู้เชี่ยวชาญส่วนภูมิภาค,cost_control_nstda_course
base.cost_control_9,51203093 - ศจ.AUTM ASIA 2016,cost_control_nstda_course
base.cost_control_10,51203139 - ศจ.BA ESSENTIALS WORKSHOP,cost_control_nstda_course
base.cost_control_11,51203124 - ศจ.BREEDING&CULTIVATION TECHNIQUES OF,cost_control_nstda_course
base.cost_control_12,51203036 - ศจ.BUSINESS PROCESS IMPROVEMENT,cost_control_nstda_course
base.cost_control_13,51203144 - ศจ.CEO INNOVATION FORUM 2016&เปิดตัวมาตร,cost_control_nstda_course
base.cost_control_14,51203095 - ศจ.COHRED RESEARCH FAIRNESS INITIATIVES,cost_control_nstda_course
base.cost_control_15,51203132 - ศจ.COMPTIA CLOUD+,cost_control_nstda_course
base.cost_control_16,51203059 - ศจ.GLOBAL YOUNG ACADEMY (GYA) EXECUTIVE,cost_control_nstda_course
base.cost_control_17,51203131 - ศจ.HOW TO GET READY FOR GLOBAL MARKET,cost_control_nstda_course
base.cost_control_18,51203080 - ศจ.ITAPปลดล็อคข้อจำกัดทางธุรกิจด้วยเทคโน,cost_control_nstda_course
base.cost_control_19,51203009 - ศจ.MANU_PSR_การพัฒนาระบบการผลิตแบบอัตโนม,cost_control_nstda_course
base.cost_control_20,51203092 - ศจ.MARKETING INSIGHTS SERIES II : รู้แล้,cost_control_nstda_course
base.cost_control_21,71001027 - ศจ.NSTDA DAY“ก้าวสู่ปีที่ 25 ความท้าทายเ,cost_control_nstda_course
base.cost_control_22,51203067 - ศจ.PITCHING อย่างไร ให้โดนใจ,cost_control_nstda_course
base.cost_control_23,51203130 - ศจ.PRACTICAL PROJECT AND CHANGE MANAGEME,cost_control_nstda_course
base.cost_control_24,51203087 - ศจ.RESEARCH & DESIGN FOOD PRODUCTS FOR A,cost_control_nstda_course
base.cost_control_25,51203027 - ศจ.SMART IT FOR SMART INDUSTRY,cost_control_nstda_course
base.cost_control_26,51203058 - ศจ.SOFTWARE EXPO 2016,cost_control_nstda_course
base.cost_control_27,51203120 - ศจ.TECHNOLOGY SHOW,cost_control_nstda_course
base.cost_control_28,51203056 - ศจ.การจัดทำพิพิธภัณฑ์คัมภีร์ใบลานออนไลน์,cost_control_nstda_course
base.cost_control_29,51203096 - ศจ.การเปลี่ยนแนวกันไฟให้กลายเป็นปุ๋ยด้วย,cost_control_nstda_course
base.cost_control_30,51203140 - ศจ.การพัฒนาเทคโนโลยีการวางแผนและควบคุมกา,cost_control_nstda_course
base.cost_control_31,"51203136 - ศจ.การอัดก้อนฟาง""ด้วยเครื่องอัดกระแทก""",cost_control_nstda_course
base.cost_control_32,62000482 - ศจ.งานแถลงข่าวบัญชีนวัตกรรมไทย,cost_control_nstda_course
base.cost_control_33,51203024 - ศจ.งานประชุม Focus Group Meeting,cost_control_nstda_course
base.cost_control_34,61000841 - ศจ.จัดบูธงานด้านวิทยาศาสตร์และเทคโนโลยี,cost_control_nstda_course
base.cost_control_35,51203028 - ศจ.จัดอบรมให้กับธนาคารแห่งประเทศไทย,cost_control_nstda_course
base.cost_control_36,51203026 - ศจ.ชนะใจลูกค้าและสร้างกำไรด้วย“LOYALTY P,cost_control_nstda_course
base.cost_control_37,51203145 - ศจ.นวัตกรรมเทคโนโลยีสะอาด โอกาสใหม่ของธุ,cost_control_nstda_course
base.cost_control_38,61000840 - ศจ.นำเสนอต้นแบบผลิตภัณฑ์และผลงานUNESCO,cost_control_nstda_course
base.cost_control_39,51203044 - ศจ.ประชุมเครือข่ายศูนย์เครื่องมือวิทยาศา,cost_control_nstda_course
base.cost_control_40,51203138 - ศจ.ประยุกต์หุ่นยนต์อุตสาหกรรมและแมชชีนวิ,cost_control_nstda_course
base.cost_control_41,51203054 - ศจ.ผู้นำด้านวิทยาศาสตร์เทคโนโลยี&นวัตกรร,cost_control_nstda_course
base.cost_control_42,51203017 - ศจ.วิจัย&พัฒนาเทคโนโลยีการผลิต&วัสดุหัตถ,cost_control_nstda_course
base.cost_control_43,51203018 - ศจ.หลักสูตรเทคโนโลยีอิเล็กทรอนิกส์แบบพิม,cost_control_nstda_course
base.cost_control_44,51203110 - ศจ.หลักสูตรผู้ตรวจประเมิน ระบบบริหารการว,cost_control_nstda_course
base.cost_control_45,51203034 - ศจ.อบรม COMPTIA PROJECT+,cost_control_nstda_course
base.cost_control_46,51203114 - ศจ.อบรมการใช้งานเครื่องวัดปริมาณมวลฝุ่นล,cost_control_nstda_course
base.cost_control_47,51203052 - ศจ.โอกาสธุรกิจจากเทคโนโลยีชีวภาพ (BIOTEC,cost_control_nstda_course
base.cost_control_48,51203088 - ศช อบรมเกษตรกรขยายผลโครงการพลังปัญญาพื้น,cost_control_nstda_course
base.cost_control_49,51101381 - ศช. BIOSAFETY และ BIOSECURITY,cost_control_nstda_course
base.cost_control_50,71001040 - ศช. BIOTEC COMMUNICATION DAY 2016,cost_control_nstda_course
base.cost_control_51,51301588 - ศช. BIOTEC Stronger Together,cost_control_nstda_course
base.cost_control_52,71001023 - ศช. FORUMพระราชบัญญัติเชื้อโรค,cost_control_nstda_course
base.cost_control_53,51101403 - ศช. NTERNATIONAL WORKSHOP ON MICROBIAL U,cost_control_nstda_course
base.cost_control_54,"51101405 - ศช. SCIENTIFIC, TECHNOLOGICAL AND SOCIAL",cost_control_nstda_course
base.cost_control_55,51101401 - ศช. SEMINAR ON TECHNOLOGIES FOR AGRICULT,cost_control_nstda_course
base.cost_control_56,51101380 - ศช. STARCH UPDATE 2015: THE 8TH INTERNA,cost_control_nstda_course
base.cost_control_57,51101402 - ศช. THAI - GERMAN BIOECONOMY CONFERENCE,cost_control_nstda_course
base.cost_control_58,51101400 - ศช. WORKSHOP ON DRIP FERTIGATION: MELON,cost_control_nstda_course
base.cost_control_59,51101406 - ศช. WORKSHOP ON MYCOTOXINS IN ASEAN COUN,cost_control_nstda_course
base.cost_control_60,51101384 - ศช. WORKSHOP ON OPPORTUNITY AND IMPACT A,cost_control_nstda_course
base.cost_control_61,51203015 - ศช. การถ่ายทอดเทคโนโลยีเพื่อการจัดอาหารก,cost_control_nstda_course
base.cost_control_62,51101404 - ศช. การประเมินความปลอดภัยทางชีวภาพด้านอา,cost_control_nstda_course
base.cost_control_63,51203084 - ศช. การสร้างดุลยภาพของยูคาลิปตัส,cost_control_nstda_course
base.cost_control_64,51203055 - ศช. จัดอบรมเกษตรกรภายใต้โครงการวิจัย,cost_control_nstda_course
base.cost_control_65,51203074 - ศช. เรียนรู้ ว & ท ใน รร. พระปริยัติธรรม,cost_control_nstda_course
base.cost_control_66,51203078 - ศช. อบรมการผลิตเชื้อบิววาเรียให้ สปป ลาว,cost_control_nstda_course
base.cost_control_67,51203108 - ศช. อบรมเจ้าหน้าที่เกษตรและเกษตรกร NPV,cost_control_nstda_course
base.cost_control_68,51301567 - ศช. อุปกรณ์ป้องกันความปลอดภัยส่วนบุคคล,cost_control_nstda_course
base.cost_control_69,51301595 - ศว.ENVRU FORUM การเสนอผลงานวิชาการ การเข,cost_control_nstda_course
base.cost_control_70,51301599 - ศว.ENVRU FORUM นำเสนอผลงานวิจัยระดับปริญ,cost_control_nstda_course
base.cost_control_71,51203137 - ศว.GT-FINITE ELEMENT FOR FRACTURE MECHAN,cost_control_nstda_course
base.cost_control_72,51203045 - ศว.GT-การใช้เทคโนโลยีขั้นสูงด้านคอมพิวเต,cost_control_nstda_course
base.cost_control_73,51203057 - ศว.GT-เทคโนโลยีกระบวนการหล่อความดันสูง (,cost_control_nstda_course
base.cost_control_74,51203012 - ศว.GT-พื้นฐานการฉีดขึ้นรูปพลาสติกและการว,cost_control_nstda_course
base.cost_control_75,51203040 - ศว.GT-โลหะวิทยาพื้นฐานและวิศวกรรมพื้นผิว,cost_control_nstda_course
base.cost_control_76,51301586 - ศว.MTEC FORUM ANALYTICAL SCANNING TRANSM,cost_control_nstda_course
base.cost_control_77,51301561 - ศว.MTEC FORUM SCHOTTKY FIELD EMISSION SC,cost_control_nstda_course
base.cost_control_78,51203109 - ศว.MTEC FORUM แนะนำบริษัทCHINO,cost_control_nstda_course
base.cost_control_79,51203115 - ศว.MTEC FORUM โปรแกรม JADE,cost_control_nstda_course
base.cost_control_80,51301574 - ศว.MTEC FORUM หัวข้อ เทคนิคการเลี้ยวเบนร,cost_control_nstda_course
base.cost_control_81,51301575 - ศว.MTEC FORUM หัวข้อ เทคโนโลยีสุญญากาศสำ,cost_control_nstda_course
base.cost_control_82,51301565 - ศว.NRFU FORUM,cost_control_nstda_course
base.cost_control_83,"51203116 - ศว.PRU FORUM ""งานวิจัย ธรรมชาติ ศิลปะ""",cost_control_nstda_course
base.cost_control_84,51203063 - ศว.PUB-การเสื่อมสภาพที่อุณหภูมิสูงของโลห,cost_control_nstda_course
base.cost_control_85,51301568 - ศว.SHARING พาณิชย์อิเล็กทรอนิกส์-E-COMM,cost_control_nstda_course
base.cost_control_86,51203086 - ศว.TAKING YOUR SCIENCE FROM LOCAL TO GLO,cost_control_nstda_course
base.cost_control_87,51301572 - ศว.การจัดทำ TECHNOLOGY ROADMAP,cost_control_nstda_course
base.cost_control_88,51301592 - ศว.การจัดทำ TECHNOLOGY ROADMAP ของศูนย์,cost_control_nstda_course
base.cost_control_89,51301569 - ศว.การเตรียมความพร้อมสำหรับการเลื่อนตำแห,cost_control_nstda_course
base.cost_control_90,51203128 - ศว.การบริหารจัดการความเสี่ยงเพื่อความสอด,cost_control_nstda_course
base.cost_control_91,51301589 - ศว.การประชุมภายในประจำปี 2559,cost_control_nstda_course
base.cost_control_92,51203071 - ศว.การประชุมวิชาการนานาชาติด้านไทรโบโลยี,cost_control_nstda_course
base.cost_control_93,51301590 - ศว.การฝึกซ้อมดับเพลิงและอพยพหนีไฟตามแผนฉ,cost_control_nstda_course
base.cost_control_94,51203126 - ศว.การพัฒนานวัตกรรม กฟภ. หลักสูตรพื้นฐาน,cost_control_nstda_course
base.cost_control_95,51203011 - ศว.การอบรมโครงการพัฒนาสร้างเครื่องจักรกล,cost_control_nstda_course
base.cost_control_96,51301587 - ศว.การอบรมและแลกเปลี่ยนความคิดเห็นเชิงปฏ,cost_control_nstda_course
base.cost_control_97,51203143 - ศว.กิจกรรมด้านอาหารผู้สูงอายุในงาน NAC20,cost_control_nstda_course
base.cost_control_98,51301591 - ศว.โครงการสานรักสานสัมพันธ์ สร้างแรงบันด,cost_control_nstda_course
base.cost_control_99,51203021 - ศว.จัดสัมมนาเพื่อเผยแพร่ผลการศึกษาโครงกา,cost_control_nstda_course
base.cost_control_100,51203127 - ศว.จัดอบรม เรื่อง ปัญหามลพิษทางน้ำและกระ,cost_control_nstda_course
base.cost_control_101,51301601 - ศว.จัดอบรมเชิงปฏิบัติการ MARKETING & BUS,cost_control_nstda_course
base.cost_control_102,51203107 - ศว.เทคโนโลยีทันสมัย เช็คความพร้อมของประเ,cost_control_nstda_course
base.cost_control_103,51301573 - ศว.โปรแกรมพัฒนาศักยภาพการเข้าสู่ตำแหน่งน,cost_control_nstda_course
base.cost_control_104,51301571 - ศว.โปรแกรมพัฒนาศักยภาพเข้าสู่ นวจ.ของ ศว,cost_control_nstda_course
base.cost_control_105,51203079 - ศว.ไฟไนต์เอลิเมนต์ในงานวิศวกรรม สำหรับวิ,cost_control_nstda_course
base.cost_control_106,51203113 - ศว.หลักสูตรพลาสติกและการประยุกต์ใช้,cost_control_nstda_course
base.cost_control_107,51301596 - ศว.อบรม ISO 9001 : 2015,cost_control_nstda_course
base.cost_control_108,51301597 - ศว.อบรมการใช้งาน AOC-5000 โดยใช้ SPME ใน,cost_control_nstda_course
base.cost_control_109,51203003 - ศว.อบรมเชิงปฏิบัติการ MARKETING & BUSINE,cost_control_nstda_course
base.cost_control_110,51203064 - ศอ.DIRECTOR TALK SPECIAL เรื่อง ผศอ. สื่,cost_control_nstda_course
base.cost_control_111,51203147 - ศอ.การประกวดวงจรอิเล็กทรอนิกส์รุ่นเยาว์,cost_control_nstda_course
base.cost_control_112,51301608 - ศอ.การสัมมนาเชิงปฏิบัติการ เรื่องการประเ,cost_control_nstda_course
base.cost_control_113,51203122 - ศอ.กิจกรรม GROUP INTERVIEW สัมภาษณ์พิเศษ,cost_control_nstda_course
base.cost_control_114,71001020 - ศอ.กิจกรรมสรุปผลงานโครงการ 5ส ประจำปี 58,cost_control_nstda_course
base.cost_control_115,63000300 - ศอ.ขออนุมัติ คชจ.จัดการต้อนรับคณะนักวิจั,cost_control_nstda_course
base.cost_control_116,"51203001 - ศอ.คชจ. จัดงาน ""การทดสอบ SMART APPLICATI",cost_control_nstda_course
base.cost_control_117,51203022 - ศอ.ค่ายนักอิเล็กทรอนิกส์ด้านเทคโนโลยีสมอ,cost_control_nstda_course
base.cost_control_118,51203002 - ศอ.ค่าอาหารว่างและเครื่องดื่มในการอบรมกา,cost_control_nstda_course
base.cost_control_119,51203102 - ศอ.จัดการแข่งขันพัฒนาโปรแกรมคอมพิวเตอร์แ,cost_control_nstda_course
base.cost_control_120,51101382 - ศอ.จัดการประกวดโครงงานของนักวิทยาศาสตร์ร,cost_control_nstda_course
base.cost_control_121,51203103 - ศอ.จัดการประกวดวงจรอิเล็กทรอนิกส์รุ่นเยา,cost_control_nstda_course
base.cost_control_122,71001031 - ศอ.จัดการอบรมโครงการสอนภาษาไทยแบบแจกลูก,cost_control_nstda_course
base.cost_control_123,71001032 - ศอ.จัดการอบรมด้านการเรียนการสอนเพื่อพัฒน,cost_control_nstda_course
base.cost_control_124,51203025 - ศอ.จัดกิจกรรมค่ายพัฒนาศักยภาพการเรียนรู้,cost_control_nstda_course
base.cost_control_125,71001024 - ศอ.จัดกิจกรรมและพิธีฉลองรางวัลโครงการดีเ,cost_control_nstda_course
base.cost_control_126,51203032 - ศอ.จัดกิจกรรมเสวนาNECTEC RESEARCHERS TAL,cost_control_nstda_course
base.cost_control_127,51301560 - ศอ.จัดงาน “ International Conference on,cost_control_nstda_course
base.cost_control_128,51203111 - ศอ.จัดงานแถลงข่าวงานมหกรรมประกวดเทคโนโลย,cost_control_nstda_course
base.cost_control_129,62000481 - ศอ.จัดงานแถลงข่าวมหกรรมประกวดเทคโนโลยีIC,cost_control_nstda_course
base.cost_control_130,62000480 - ศอ.จัดงานแถลงข่าวและส่งมอบเครื่อง SAM_พั,cost_control_nstda_course
base.cost_control_131,51203146 - ศอ.จัดงานนำคณะรมว.วท. คณะผู้บริหาร และคณ,cost_control_nstda_course
base.cost_control_132,51203106 - ศอ.จัดงานแม่ฮ่องสอนไอทีวัลเล่ย์ ค.7,cost_control_nstda_course
base.cost_control_133,51203075 - ศอ.จัดงานวันเด็กแห่งชาติประจำปี 2559,cost_control_nstda_course
base.cost_control_134,"51203031 - ศอ.จัดงานสัมมนาเชิงปฏิบัติการหัวข้อ ""OPE",cost_control_nstda_course
base.cost_control_135,51203073 - ศอ.จัดงานเสวนา NECTEC TALK,cost_control_nstda_course
base.cost_control_136,51203043 - ศอ.จัดงานเสวนาNECTEC TALK เรื่อง “PEA&NE,cost_control_nstda_course
base.cost_control_137,51203121 - ศอ.จัดงานเสวนาNECTEC TALK เรื่อง “SMARTI,cost_control_nstda_course
base.cost_control_138,51203094 - ศอ.จัดงานเสวนาNECTEC TALK เรื่อง “การประ,cost_control_nstda_course
base.cost_control_139,51203005 - ศอ.จัดงานอบรมเชิงปฏิบัติการ พิราบดิจิทัล,cost_control_nstda_course
base.cost_control_140,51203039 - ศอ.จัดเตรียมยุทธศาสตร์การดำเนินงานของสถา,cost_control_nstda_course
base.cost_control_141,51203104 - ศอ.จัดนิทรรศการนำเสนอผลการประกวดโครงการบ,cost_control_nstda_course
base.cost_control_142,"71001030 - ศอ.จัดประชุม ""กลยุทธ์การประเมินราคาค่าบร",cost_control_nstda_course
base.cost_control_143,51203007 - ศอ.จัดประชุมเชิงปฏิบัติการเพื่อจัดทำคู่ม,cost_control_nstda_course
base.cost_control_144,51203023 - ศอ.จัดประชุมสรุปผลการทดสอบระบบฯและจัดอบร,cost_control_nstda_course
base.cost_control_145,51101383 - ศอ.จัดสัมมนากลุ่มนักวิจัยและพัฒนาเทคโนโล,cost_control_nstda_course
base.cost_control_146,71001025 - ศอ.จัดสัมมนาหลักสูตร ปรับความคิดพิชิตเป้,cost_control_nstda_course
base.cost_control_147,51203047 - ศอ.จัดเสวนา DIRECTOR TALK SPECIAL เรื่อง,cost_control_nstda_course
base.cost_control_148,51203038 - ศอ.จัดอบรมการติดตั้งและใช้งานระบบโทรศัพท,cost_control_nstda_course
base.cost_control_149,"51203105 - ศอ.จัดอบรมเชิงปฏิบัติการ ""ช่องทางการจัดจ",cost_control_nstda_course
base.cost_control_150,51203042 - ศอ.จัดอบรมเชิงปฏิบัติการ PENTAHO DATA IN,cost_control_nstda_course
base.cost_control_151,51203135 - ศอ.จัดอบรมเชิงปฏิบัติการผู้ผลิตข่าวดิจิท,cost_control_nstda_course
base.cost_control_152,51203041 - ศอ.จัดอบรมระบบบริหารการประชุมเวอร์ชั้น 2,cost_control_nstda_course
base.cost_control_153,"51203065 - ศอ.จัดอบรมหลักสูตร ""การทดสอบซอฟต์แวร์ (S",cost_control_nstda_course
base.cost_control_154,"71001029 - ศอ.จัดอบรมหลักสูตร ""ทำงานเป็นทีม-ข้ามทีม",cost_control_nstda_course
base.cost_control_155,51203083 - ศอ.จัดอบรมหลักสูตร ISO/IEC 29110 WORKSHO,cost_control_nstda_course
base.cost_control_156,"71001021 - ศอ.ดูงาน ECO RETAILS ""PARK VENTURES - TH",cost_control_nstda_course
base.cost_control_157,51203082 - ศอ.นำเสนอผลงานวิจัยเนคเทคเผยแพร่สู่สาธาร,cost_control_nstda_course
base.cost_control_158,71001028 - ศอ.ประชุมจุดประกายความคิด ทศวรรษที่ ๔: บ,cost_control_nstda_course
base.cost_control_159,51203030 - ศอ.ประชุมเชิงปฏิบัติการ (TECHNICAL WORKS,cost_control_nstda_course
base.cost_control_160,51203134 - ศอ.ประชุมเชิงปฏิบัติการโครงการ “โรงเรียน,cost_control_nstda_course
base.cost_control_161,51203048 - ศอ.ประชุมเชิงปฏิบัติการเพื่อตรวจสอบเนื้อ,cost_control_nstda_course
base.cost_control_162,51203019 - ศอ.ประชุมระดมสมองและวิพากษ์โปรแกรมสำหรับ,cost_control_nstda_course
base.cost_control_163,51203100 - ศอ.เผยแพร่ข้อมูลโครงการ NATIONAL E-SCIEN,cost_control_nstda_course
base.cost_control_164,51203037 - ศอ.เผยแพร่ผลงานวิจัยเนคเทคสู่สาธารณชน ภา,cost_control_nstda_course
base.cost_control_165,51203049 - ศอ.เพื่อเผยแพร่ผลงานวิจัยเนคเทคสู่สาธารณ,cost_control_nstda_course
base.cost_control_166,51203029 - ศอ.ระดมสมอง การจัดตั้งสถาบันเทคโนโลยีเพื,cost_control_nstda_course
base.cost_control_167,71001026 - ศอ.สรุปผลการฝึกซ้อมดับเพลิงและอพยพคนออกจ,cost_control_nstda_course
base.cost_control_168,71001041 - ศอ.สัมมนาหน่วยวิจัยนวัตกรรมและวิศวกรรม,cost_control_nstda_course
base.cost_control_169,51203006 - ศอ.อนุมัติจัดค่ายส่งเสริมและพัฒนาทักษะกา,cost_control_nstda_course
base.cost_control_170,"51203085 - ศอ.อบรม""การใช้งานระบบโทรศัพท์วิดีโผ่านกา",cost_control_nstda_course
base.cost_control_171,"51203133 - ศอ.อบรม""การใช้งานระบบโทรศัพท์วิดีโอผ่านก",cost_control_nstda_course
base.cost_control_172,51203035 - ศอ.อบรมการใช้งานระบบประชุมเวอร์ชั่น 2.0,cost_control_nstda_course
base.cost_control_173,51203112 - ศอ.อบรมเชิงปฎิบัติการให้กับชาวบ้านหนองปื,cost_control_nstda_course
base.cost_control_174,51203008 - ศอ.อบรมเชิงปฏิบัติการสำหรับโปรแกรม VASP,cost_control_nstda_course
base.cost_control_175,"51203061 - ศอ.อบรมหลักสูตร""VHDL AND FPGA IMPLEMENTA",cost_control_nstda_course
base.cost_control_176,51301581 - สก.COMMUNICATION DAY,cost_control_nstda_course
base.cost_control_177,51301580 - สก.DIGITAL CONTENT MARKETING,cost_control_nstda_course
base.cost_control_178,51203072 - สก.HIGH-LEVEL EXPERT ROUNDTABLE,cost_control_nstda_course
base.cost_control_179,51301566 - สก.NSTDA DAY,cost_control_nstda_course
base.cost_control_180,51203129 - สก.การเสริมสร้างผู้ประกอบการชุมชน,cost_control_nstda_course
base.cost_control_181,51301578 - สก.กิจกรรม FRIENDSHIP DAY,cost_control_nstda_course
base.cost_control_182,51301579 - สก.กิจกรรม HR SHARING,cost_control_nstda_course
base.cost_control_183,51301600 - สก.กิจกรรม LT-SEC DAY,cost_control_nstda_course
base.cost_control_184,51301602 - สก.กิจกรรม NSTDA ORGANIZATION AMBASSADOR,cost_control_nstda_course
base.cost_control_185,"51301576 - สก.กิจกรรม""การจัดการความรู้งานสนับสนุน1""",cost_control_nstda_course
base.cost_control_186,51203069 - สก.โครงการก้าวแรกสู่เส้นทางนักวิทย์,cost_control_nstda_course
base.cost_control_187,51203123 - สก.โครงการจัดทำและขับเคลื่อนแผนการพัฒนา,cost_control_nstda_course
base.cost_control_188,51203000 - สก.โครงการนำร่องการถ่ายทอดเทคโนโลยีการผล,cost_control_nstda_course
base.cost_control_189,51301577 - สก.โครงการพัฒนาระบบสารสนเทศบริหารงบประมา,cost_control_nstda_course
base.cost_control_190,51203089 - สก.โครงการระบบสื่อสาระออนไลน์,cost_control_nstda_course
base.cost_control_191,51203091 - สก.โครงการสำรวจข้อมูลอินเทอร์เน็ต,cost_control_nstda_course
base.cost_control_192,51203053 - สก.จัดทำและขับเคลื่อนแผนการพัฒนาเศรษฐกิจ,cost_control_nstda_course
base.cost_control_193,51203125 - สก.ตรวจวิเคราะห์และปรับปรุงดินสำหรับเกษต,cost_control_nstda_course
base.cost_control_194,51203068 - สก.นำร่องการถ่ายทอดเทคโนโลยีการผลิต,cost_control_nstda_course
base.cost_control_195,51203051 - สก.บรรยายพิเศษ AFTER COLLEGE GRADUATION,cost_control_nstda_course
base.cost_control_196,51203016 - สก.บริหารจัดการนวัตกรรมบริการ,cost_control_nstda_course
base.cost_control_197,51203013 - สก.บริหารจัดการโปรแกรมข้าว,cost_control_nstda_course
base.cost_control_198,51203098 - สก.บริหารจัดการโปรแกรมเมล็ดพันธุ์,cost_control_nstda_course
base.cost_control_199,51203090 - สก.บริหารจัดการวัสดุเฉพาะทาง,cost_control_nstda_course
base.cost_control_200,51203141 - สก.ประชุมคณะทุนนักวิจัยทุน NSTDA CHAIR,cost_control_nstda_course
base.cost_control_201,51203142 - สก.ผลิตเมล็ดพันธุ์ถั่วเขียวสายพันธุ์ใหม่,cost_control_nstda_course
base.cost_control_202,51203014 - สก.มหาวิทยาลัยเด็ก ประเทศไทย,cost_control_nstda_course
base.cost_control_203,51301562 - สก.สัมมนาการใช้งานระบบ Micorosft Dynamic,cost_control_nstda_course
