id,name,prefix
base.ir_sequence_141,ศูนย์พันธุวิศวกรรมและเทคโนโลยีชีวภาพแห่งชาติ Sequence picking,ศช./PICK/
base.ir_sequence_146,ศูนย์เทคโนโลยีโลหะและวัสดุแห่งชาติ Sequence picking,ศว./PICK/
base.ir_sequence_156,ศูนย์บริหารจัดการเทคโนโลยี Sequence picking,ศจ./PICK/
base.ir_sequence_161,ศูนย์นาโนเทคโนโลยีแห่งชาติ Sequence picking,ศน./PICK/
base.ir_sequence_18,สำนักงานกลาง Sequence picking,สก.\PICK\
base.ir_sequence_151,ศูนย์เทคโนโลยีอิเล็กทรอนิกส์และคอมพิวเตอร์แห่งชาติ Sequence pick,ศอ./PICK/
base.ir_sequence_140,ศูนย์พันธุวิศวกรรมและเทคโนโลยีชีวภาพแห่งชาติ Sequence packing,ศช./PACK/
base.ir_sequence_145,ศูนย์เทคโนโลยีโลหะและวัสดุแห่งชาติ Sequence packing,ศว./PACK/
base.ir_sequence_155,ศูนย์บริหารจัดการเทคโนโลยี Sequence packing,ศจ./PACK/
base.ir_sequence_160,ศูนย์นาโนเทคโนโลยีแห่งชาติ Sequence packing,ศน./PACK/
base.ir_sequence_17,สำนักงานกลาง Sequence packing,สก.\PACK\
base.ir_sequence_150,ศูนย์เทคโนโลยีอิเล็กทรอนิกส์และคอมพิวเตอร์แห่งชาติ Sequence pack,ศอ./PACK/
base.ir_sequence_149,ศูนย์เทคโนโลยีอิเล็กทรอนิกส์และคอมพิวเตอร์แห่งชาติ Sequence out,ศอ./OUT/
base.ir_sequence_139,ศูนย์พันธุวิศวกรรมและเทคโนโลยีชีวภาพแห่งชาติ Sequence out,ศช./OUT/
base.ir_sequence_144,ศูนย์เทคโนโลยีโลหะและวัสดุแห่งชาติ Sequence out,ศว./OUT/
base.ir_sequence_154,ศูนย์บริหารจัดการเทคโนโลยี Sequence out,ศจ./OUT/
base.ir_sequence_159,ศูนย์นาโนเทคโนโลยีแห่งชาติ Sequence out,ศน./OUT/
base.ir_sequence_16,สำนักงานกลาง Sequence out,สก.\OUT\
base.ir_sequence_180,สำนักงานกลาง Sequence internal9,สก./INT9/
base.ir_sequence_179,สำนักงานกลาง Sequence internal8,สก./INT8/
base.ir_sequence_178,สำนักงานกลาง Sequence internal7,สก./INT7/
base.ir_sequence_177,สำนักงานกลาง Sequence internal6,สก./INT6/
base.ir_sequence_176,สำนักงานกลาง Sequence internal5,สก./INT5/
base.ir_sequence_175,สำนักงานกลาง Sequence internal4,สก./INT4/
base.ir_sequence_174,สำนักงานกลาง Sequence internal3,สก./INT3/
base.ir_sequence_172,ศูนย์บริหารจัดการเทคโนโลยี Sequence internal2,ศจ./INT2/
base.ir_sequence_173,สำนักงานกลาง Sequence internal2,สก./INT2/
base.ir_sequence_142,ศูนย์พันธุวิศวกรรมและเทคโนโลยีชีวภาพแห่งชาติ Sequence internal,ศช./INT/
base.ir_sequence_147,ศูนย์เทคโนโลยีโลหะและวัสดุแห่งชาติ Sequence internal,ศว./INT/
base.ir_sequence_157,ศูนย์บริหารจัดการเทคโนโลยี Sequence internal,ศจ./INT/
base.ir_sequence_162,ศูนย์นาโนเทคโนโลยีแห่งชาติ Sequence internal,ศน./INT/
base.ir_sequence_19,สำนักงานกลาง Sequence internal,สก.\INT\
base.ir_sequence_152,ศูนย์เทคโนโลยีอิเล็กทรอนิกส์และคอมพิวเตอร์แห่งชาติ Sequence inte,ศอ./INT/
base.ir_sequence_171,สำนักงานกลาง Sequence in8,สก./IN9/
base.ir_sequence_170,สำนักงานกลาง Sequence in7,สก./IN8/
base.ir_sequence_169,สำนักงานกลาง Sequence in6,สก./IN7/
base.ir_sequence_168,สำนักงานกลาง Sequence in5,สก./IN6/
base.ir_sequence_167,สำนักงานกลาง Sequence in4,สก./IN5/
base.ir_sequence_166,สำนักงานกลาง Sequence in3,สก./IN4/
base.ir_sequence_163,ศูนย์บริหารจัดการเทคโนโลยี Sequence in2,ศจ./IN2/
base.ir_sequence_165,สำนักงานกลาง Sequence in2,สก./IN3/
base.ir_sequence_164,สำนักงานกลาง Sequence in1,สก./IN2/
base.ir_sequence_148,ศูนย์เทคโนโลยีอิเล็กทรอนิกส์และคอมพิวเตอร์แห่งชาติ Sequence in,ศอ./IN/
base.ir_sequence_138,ศูนย์พันธุวิศวกรรมและเทคโนโลยีชีวภาพแห่งชาติ Sequence in,ศช./IN/
base.ir_sequence_143,ศูนย์เทคโนโลยีโลหะและวัสดุแห่งชาติ Sequence in,ศว./IN/
base.ir_sequence_153,ศูนย์บริหารจัดการเทคโนโลยี Sequence in,ศจ./IN1/
base.ir_sequence_158,ศูนย์นาโนเทคโนโลยีแห่งชาติ Sequence in,ศน./IN/
base.ir_sequence_15,สำนักงานกลาง Sequence in,สก.\IN\
