id,code,name
proposal_status_10,10,กรอกข้อเสนอโครงการ
proposal_status_20,20,ส่งข้อเสนอโครงการ
proposal_status_30,30,ตรวจสอบความถูกต้องตามโปรแกรม
proposal_status_35,35,กำหนดนักวิเคราะห์ดูแลโครงการ
proposal_status_39,39,ไม่ถูกต้องตามโปรแกรม
proposal_status_40,40,กำหนด Flow ข้อเสนอโครงการ
proposal_status_50,50,พิจารณาข้อเสนอโครงการเบื้องต้น
proposal_status_51,51,ขอข้อมูลเพิ่มเติม (สำหรับการพิจารณาเบื้องต้น)
proposal_status_52,52,ขอข้อมูลเพิ่มเติม พร้อมเสนอรายชื่อผู้เชี่ยวชาญ
proposal_status_58,58,ไม่ผ่านการพิจารณาเบื้องต้น เนื่องจากไม่ได้รับข้อมูลเพิ่มเติม
proposal_status_59,59,ไม่ผ่านการพิจารณาเบื้องต้น
proposal_status_60,60,เสนอรายชื่อผู้เชี่ยวชาญ
proposal_status_70,70,พิจารณาข้อเสนอโครงการโดยผู้เชี่ยวชาญ
proposal_status_71,71,ขอข้อมูลเพิ่มเติม (สำหรับการพิจารณาโดยผู้เชี่ยวชาญ)
proposal_status_78,78,ไม่ผ่านการพิจารณาโดยผู้เชี่ยวชาญ เนื่องจากไม่ได้รับข้อมูลเพิ่มเติม
proposal_status_79,79,ไม่ผ่านการพิจารณาโดยผู้เชี่ยวชาญ
proposal_status_80,80,พิจารณาข้อเสนอโครงการด้านเทคนิค
proposal_status_81,81,ขอข้อมูลเพิ่มเติม (สำหรับการพิจารณาด้านเทคนิค)
proposal_status_88,88,ไม่ผ่านการพิจารณาด้านเทคนิค เนื่องจากไม่ได้รับข้อมูลเพิ่มเติม
proposal_status_89,89,ไม่ผ่านการพิจารณาด้านเทคนิค
proposal_status_90,90,พิจารณาอนุมัติกรอบงบประมาณโครงการ
proposal_status_91,91,ขอข้อมูลเพิ่มเติม (สำหรับการพิจารณาอนุมัติกรอบงบประมาณโครงการ)
proposal_status_98,98,ไม่ผ่านการอนุมัติกรอบงบประมาณโครงการ เนื่องจากไม่ได้รับข้อมูลเพิ่มเติม
proposal_status_99,99,ไม่ผ่านการอนุมัติกรอบงบประมาณโครงการ
proposal_status_100,100,พิจารณาอนุมัติโครงการในระบบ SAP
proposal_status_107,107,อนุมัติโครงการในระบบ SAP
proposal_status_110,110,หัวหน้าโครงการขอยุติโครงการ
proposal_status_119,119,แหล่งทุนอนุมัติการยุติโครงการ
proposal_status_121,121,ขอข้อมูลเพิ่มเติม (สำหรับตรวจสอบความถูกต้อง)
proposal_status_128,128,ไม่ผ่านการตรวจสอบความถูกต้อง เนื่องจากไม่ได้รับข้อมูลเพิ่มเติม
proposal_status_129,129,ไม่ผ่านการตรวจสอบความถูกต้อง
proposal_status_120,120,ตรวจสอบความถูกต้องก่อนอนุมัติโครงการ
