"id","type_id/id","method_id/id","price_range_id/id","condition_id/id","confidential_id/id","doctype_id/id"
"base.prweb_purchase_method_1","base.purchase_type_1","base.purchase_method_4","base.purchase_price_range_12","","","base.wkf_config_doctype_5"
"base.prweb_purchase_method_2","base.purchase_type_1","base.purchase_method_3","base.purchase_price_range_2","","","base.wkf_config_doctype_6"
"base.prweb_purchase_method_3","base.purchase_type_1","base.purchase_method_2","base.purchase_price_range_7","","","base.wkf_config_doctype_8"
"base.prweb_purchase_method_4","base.purchase_type_1","base.purchase_method_6","base.purchase_price_range_4","base.purchase_condition_1","","base.wkf_config_doctype_9"
"base.prweb_purchase_method_5","base.purchase_type_1","base.purchase_method_5","base.purchase_price_range_9","","","base.wkf_config_doctype_10"
"base.prweb_purchase_method_6","base.purchase_type_1","base.purchase_method_8","base.purchase_price_range_7","","","base.wkf_config_doctype_7"
"base.prweb_purchase_method_7","base.purchase_type_2","base.purchase_method_4","base.purchase_price_range_12","","","base.wkf_config_doctype_5"
"base.prweb_purchase_method_8","base.purchase_type_2","base.purchase_method_3","base.purchase_price_range_2","","","base.wkf_config_doctype_6"
"base.prweb_purchase_method_9","base.purchase_type_2","base.purchase_method_2","base.purchase_price_range_7","","","base.wkf_config_doctype_8"
"base.prweb_purchase_method_10","base.purchase_type_6","base.purchase_method_1","base.purchase_price_range_5","","","base.wkf_config_doctype_11"
"base.prweb_purchase_method_11","base.purchase_type_6","base.purchase_method_9","base.purchase_price_range_8","","","base.wkf_config_doctype_11"
"base.prweb_purchase_method_12","base.purchase_type_5","base.purchase_method_6","base.purchase_price_range_3","","","base.wkf_config_doctype_12"
"base.prweb_purchase_method_13","base.purchase_type_5","base.purchase_method_1","base.purchase_price_range_10","","","base.wkf_config_doctype_12"
"base.prweb_purchase_method_14","base.purchase_type_5","base.purchase_method_9","base.purchase_price_range_1","","","base.wkf_config_doctype_12"
"base.prweb_purchase_method_15","base.purchase_type_5","base.purchase_method_7","base.purchase_price_range_6","","","base.wkf_config_doctype_12"
"base.prweb_purchase_method_16","base.purchase_type_3","base.purchase_method_1","base.purchase_price_range_12","","","base.wkf_config_doctype_5"
"base.prweb_purchase_method_17","base.purchase_type_3","base.purchase_method_3","base.purchase_price_range_2","","","base.wkf_config_doctype_6"
"base.prweb_purchase_method_18","base.purchase_type_3","base.purchase_method_2","base.purchase_price_range_7","","","base.wkf_config_doctype_8"
"base.prweb_purchase_method_19","base.purchase_type_3","base.purchase_method_6","base.purchase_price_range_4","base.purchase_condition_4","","base.wkf_config_doctype_9"
"base.prweb_purchase_method_20","base.purchase_type_4","base.purchase_method_10","base.purchase_price_range_11","base.purchase_condition_3","","base.wkf_config_doctype_13"
"base.prweb_purchase_method_21","base.purchase_type_2","base.purchase_method_6","base.purchase_price_range_3","","","base.wkf_config_doctype_9"
"base.prweb_purchase_method_22","base.purchase_type_2","base.purchase_method_5","base.purchase_price_range_9","","","base.wkf_config_doctype_10"
"base.prweb_purchase_method_23","base.purchase_type_2","base.purchase_method_8","base.purchase_price_range_7","","","base.wkf_config_doctype_7"
"base.prweb_purchase_method_24","base.purchase_type_3","base.purchase_method_5","base.purchase_price_range_9","","","base.wkf_config_doctype_10"
"base.prweb_purchase_method_25","base.purchase_type_3","base.purchase_method_8","base.purchase_price_range_7","","","base.wkf_config_doctype_7"
