id,name
base.purchase_committee_type_1,"คณะกรรมการจัดเช่าอสังหาริมทรัพย์"
base.purchase_committee_type_2,"คณะกรรมการพิจารณาผลการประกวดราคา"
base.purchase_committee_type_3,"คณะกรรมการตรวจรับการเช่า"
base.purchase_committee_type_4,"คณะกรรมการตรวรับที่ปรึกษา หรือผู้เชี่ยวชาญ"
base.purchase_committee_type_5,"คณะกรรมการจัดจ้างออกแบบและควบคุมงาน"
base.purchase_committee_type_6,"คณะกรรมการตรวจรับที่ปรึกษา หรือผู้เชี่ยวชาญ"
base.purchase_committee_type_7,"คณะกรรมการเปิดซองสอบราคา"
base.purchase_committee_type_8,"คณะกรรมการจัดซื้อ/จัดจ้างโดยวิธีพิเศษ"
base.purchase_committee_type_9,"คณะกรรมการตรวจและรับมอบงาน"
base.purchase_committee_type_10,"คณะกรรมการกำหนดร่างขอบเขตของงาน (TOR)"
base.purchase_committee_type_11,"คณะกรรมการรับ และเปิดซองประกวดราคา"
base.purchase_committee_type_12,"คณะกรรมการตรวจรับพัสดุ/คณะกรรมการตรวจการจ้าง"
base.purchase_committee_type_13,"คณะกรรมการดำเนินการจ้างที่ปรึกษาหรือผู้เชี่ยวชาญ"

