id,name
base.purchase_price_range_1,"วงเงินค่าก่อสร้างไม่เกิน 10,000,000 บาท"
base.purchase_price_range_2,"ราคาเกิน 300,000 บาท แต่ไม่เกิน 2,000,000 บาท"
base.purchase_price_range_3,"มีความจำเป็นเร่งด่วน หรือมีลักษณะพิเศษ"
base.purchase_price_range_4,"ราคาเกิน 300,000 บาท และต้องเป็นกรณีตามข้อบังคับ กวทช.ว่าด้วยการพัสดุ พ.ศ. 2543 ข้อ 22 หรือ 23"
base.purchase_price_range_5,"ค่าจ้างไม่เกิน 1,000,000 บาท และต้องเป็นกรณีตามข้อบังคับ กวทช.ว่าด้วยการพัสดุ พ.ศ.2543 ข้อ 40"
base.purchase_price_range_6,"วงเงินค่าก่อสร้างเกิน 10,000,000 บาท"
base.purchase_price_range_7,"ราคาตั้งแต่ 2,000,000 บาท ขึ้นไป"
base.purchase_price_range_8,"ค่าจ้างเกิน 1,000,000 บาท และต้องเป็นกรณีตามข้อบังคับ กวทช.ว่าด้วยการพัสดุ พ.ศ.2543 ข้อ 41"
base.purchase_price_range_9,"การซื้อหรือการจ้างจากส่วนราชการ รัฐวิสาหกิจ หรือองค์การของรัฐ"
base.purchase_price_range_10,"วงเงินค่าก่อสร้างไม่เกิน 5,000,000 บาท"
base.purchase_price_range_11,"เป็นกรณีตามข้อบังคับ กวทช.ว่าด้วยการพัสดุ พ.ศ.2543 ข้อ 65"
base.purchase_price_range_12,"ราคาไม่เกิน 300,000 บาท"
base.purchase_price_range_13,"ราคาตั้งแต่ 2,000,000 บาท ขึ้นไป"
