id,name,code,sequence_id/id,return_picking_type_id/id,warehouse_id,default_location_src_id/id,default_location_dest_id/id
stock.picking_type_out,Delivery Orders,Customers,__export__.ir_sequence_16,stock.picking_type_in,สก.,stock.stock_location_stock,stock.stock_location_customers
__export__.stock_picking_type_137,ค. กลาง PMM Receipts,Suppliers,__export__.ir_sequence_169,stock.picking_type_out,สก.,stock.stock_location_suppliers,__export__.stock_location_207
__export__.stock_picking_type_138,ค. หนังสือ Scicamp Receipts,Suppliers,__export__.ir_sequence_170,stock.picking_type_out,สก.,stock.stock_location_suppliers,__export__.stock_location_205
__export__.stock_picking_type_139,ค. Science Shop Receipts,Suppliers,__export__.ir_sequence_171,stock.picking_type_out,สก.,stock.stock_location_suppliers,__export__.stock_location_209
stock.picking_type_in,ค. วัสดุ Receipts,Suppliers,__export__.ir_sequence_15,stock.picking_type_out,สก.,stock.stock_location_suppliers,__export__.stock_location_197
__export__.stock_picking_type_132,ค. หนังสือ-สก. Receipts,Suppliers,__export__.ir_sequence_164,stock.picking_type_out,สก.,stock.stock_location_suppliers,__export__.stock_location_208
__export__.stock_picking_type_133,ค. หนังสือใต้ดิน. Receipts,Suppliers,__export__.ir_sequence_165,stock.picking_type_out,สก.,stock.stock_location_suppliers,__export__.stock_location_204
__export__.stock_picking_type_134,ค. หนังสือ CC Receipts,Suppliers,__export__.ir_sequence_166,stock.picking_type_out,สก.,stock.stock_location_suppliers,__export__.stock_location_206
__export__.stock_picking_type_135,ค. งาน Event Receipts,Suppliers,__export__.ir_sequence_167,stock.picking_type_out,สก.,stock.stock_location_suppliers,__export__.stock_location_202
__export__.stock_picking_type_136,ค. NN NTSDA Receipts,Suppliers,__export__.ir_sequence_168,stock.picking_type_out,สก.,stock.stock_location_suppliers,__export__.stock_location_196
__export__.stock_picking_type_146,เบิกสินค้า ค. NN NTSDA Event Internal Transfers,Internal,__export__.ir_sequence_177,,สก.,__export__.stock_location_196,__export__.stock_location_211
__export__.stock_picking_type_144,เบิกสินค้า ค. หนังสือ CC Internal Transfers,Internal,__export__.ir_sequence_175,,สก.,__export__.stock_location_206,__export__.stock_location_211
__export__.stock_picking_type_147,เบิกสินค้า ค. กลาง PMM Event Internal Transfers,Internal,__export__.ir_sequence_178,,สก.,__export__.stock_location_207,__export__.stock_location_211
__export__.stock_picking_type_142,เบิกสินค้า ค. หนังสือ-สก. Internal Transfers,Internal,__export__.ir_sequence_173,,สก.,__export__.stock_location_208,__export__.stock_location_211
__export__.stock_picking_type_143,เบิกสินค้า ค. หนังสือใต้ดิน Internal Transfers,Internal,__export__.ir_sequence_174,,สก.,__export__.stock_location_204,__export__.stock_location_211
stock.picking_type_internal,เบิกสินค้า ค. วัสดุ Internal Transfers,Internal,__export__.ir_sequence_19,,สก.,__export__.stock_location_197,__export__.stock_location_211
__export__.stock_picking_type_149,เบิกสินค้า ค. Science Shop Event Internal Transfers,Internal,__export__.ir_sequence_180,,สก.,__export__.stock_location_209,__export__.stock_location_211
__export__.stock_picking_type_148,เบิกสินค้า ค. หนังสือ Scicamp Event Internal Transfers,Internal,__export__.ir_sequence_179,,สก.,__export__.stock_location_205,__export__.stock_location_211
__export__.stock_picking_type_145,เบิกสินค้า ค. งาน Event Internal Transfers,Internal,__export__.ir_sequence_176,,สก.,__export__.stock_location_202,__export__.stock_location_211
__export__.stock_picking_type_107,Delivery Orders,Customers,__export__.ir_sequence_139,,ศช.,__export__.stock_location_153,stock.stock_location_customers
__export__.stock_picking_type_106,ค. วัสดุ Receipts,Suppliers,__export__.ir_sequence_138,__export__.stock_picking_type_107,ศช.,stock.stock_location_suppliers,__export__.stock_location_199
__export__.stock_picking_type_107,Delivery Orders,Customers,__export__.ir_sequence_139,__export__.stock_picking_type_106,ศช.,__export__.stock_location_153,stock.stock_location_customers
__export__.stock_picking_type_108,เบิกสินค้า ค. วัสดุ Internal Transfers,Internal,__export__.ir_sequence_142,,ศช.,__export__.stock_location_199,__export__.stock_location_211
