"id","company_id/id","date","footer_disabled","delimiter_symbol","line_number_max","name","user_id/id","header_config_line_ids/default_value","header_config_line_ids/detail_configure_id/id","header_config_line_ids/footer_configure_id/id","header_config_line_ids/length","header_config_line_ids/mandatory","header_config_line_ids/model_id/id","header_config_line_ids/field_code","header_config_line_ids/notes","header_config_line_ids/sequence","detail_config_line_ids/default_value","detail_config_line_ids/footer_configure_id/id","detail_config_line_ids/header_configure_id/id","detail_config_line_ids/length","detail_config_line_ids/mandatory","detail_config_line_ids/model_id/id","detail_config_line_ids/field_code","detail_config_line_ids/notes","detail_config_line_ids/sequence","footer_config_line_ids/default_value","footer_config_line_ids/detail_configure_id/id","footer_config_line_ids/header_configure_id/id","footer_config_line_ids/length","footer_config_line_ids/mandatory","footer_config_line_ids/model_id/id","footer_config_line_ids/field_code","footer_config_line_ids/notes","footer_config_line_ids/sequence"
"__export__.document_export_config_3","base.main_company","2017-08-03","False","~","0","BBL DIRECT Template","base.user_root","001","","","3","True","pabi_attachment_helper.model_payment_export","","Record Type","1","003","","","3","True","pabi_account_debt_transfer.model_payment_export_line","","Record Type","1","100","","","3","True","pabi_attachment_helper.model_payment_export","","Record Identifier","1"
"","","","","","","","","NSTDA","","","5","True","pabi_attachment_helper.model_payment_export","","Company Id","2","","","","","","","","","","","","","","","","","",""
"","","","","","","","","0994000165668","","","15","True","pabi_attachment_helper.model_payment_export","","Company tax id","3","","","","","","","","","","","","","","","","","",""
"","","","","","","","","0803000017","","","20","True","pabi_attachment_helper.model_payment_export","","Company Account","4","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","25","True","pabi_attachment_helper.model_payment_export","value = object.name","Customer Batch Reference","5","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","5","False","pabi_attachment_helper.model_payment_export","","Batch Broadcast message","6","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","8","True","pabi_attachment_helper.model_payment_export","value = time.strftime(""%d%m%Y"")","File Date","7","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","6","True","pabi_attachment_helper.model_payment_export","value = time.strftime(""%H%M%S"")","File Timestamp","8","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","NSTDA","","","5","True","pabi_account_debt_transfer.model_payment_export_line","","Company Id","2","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","6","True","pabi_account_debt_transfer.model_payment_export_line","value = object.sequence","Credit Sequence Number","3","","","","","","","","",""
"","","","","","","","","","","","","","","","","","DCB02","","","5","True","pabi_account_debt_transfer.model_payment_export_line","","Product code","4","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","25","True","pabi_account_debt_transfer.model_payment_export_line","value = object.voucher_id.supplier_bank_id.acc_number","Beneficiary Account Number","5","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","8","True","pabi_account_debt_transfer.model_payment_export_line","value = datetime.datetime.strptime(object.voucher_id.date_value, '%Y-%m-%d').strftime('%d%m%Y')","Value date","6","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","6","False","pabi_account_debt_transfer.model_payment_export_line","","Value time","7","","","","","","","","",""
"","","","","","","","","","","","","","","","","","THB","","","3","True","pabi_account_debt_transfer.model_payment_export_line","","Credit Currency","8","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","18","True","pabi_account_debt_transfer.model_payment_export_line","value = object.voucher_id.number","Internal Reference","9","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","8","False","pabi_account_debt_transfer.model_payment_export_line","value = datetime.datetime.strptime(object.voucher_id.date_value, '%Y-%m-%d').strftime('%d%m%Y')","Pre-advice date ","10","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","2","False","pabi_account_debt_transfer.model_payment_export_line","","Delivery Method","11","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","2","False","pabi_account_debt_transfer.model_payment_export_line","","Dispatch To","12","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","1","False","pabi_account_debt_transfer.model_payment_export_line","","Cheque deposit Required","13","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","1","False","pabi_account_debt_transfer.model_payment_export_line","","Copy ID card Present","14","","","","","","","","",""
